added_at,track_id,track_uri,track_name,artist_ids,artist_names,album_id,album_name,release_date,release_date_precision,duration_ms,duration_seconds,popularity,explicit,is_playable,restriction_reason,linked_from_track_id,isrc,track_href,track_external_url
2026-01-11T08:54:14Z,4cRmzbAXOuvE2GxOUaQ24C,spotify:track:4cRmzbAXOuvE2GxOUaQ24C,"Requiem, K. 626: Sequentia: Dies irae",4NJhFmfw43RLBLjQvxDuRS | 0TrG2LSot4KhaXqdf5K2zE | 00RYuiBTDk8MuLKIsmUjIY | 3VqRvmqol6junQB7O4qROM | 3mkJJGg5f3wkaZ70zsyWdx | 40uS8bQwZnLykIvMOwifxj,Wolfgang Amadeus Mozart | Sir Colin Davis | Angela Maria Blasi | Marjana Lipovsek | Uwe Heilmann | Jan-Hendrik Rootering,32XpKHrx4T8wTfQs74mCi9,Mozart: Requiem / Choral Works,1991,year,104906,104.906,,False,True,,,USBC19100211,https://api.spotify.com/v1/tracks/4cRmzbAXOuvE2GxOUaQ24C,https://open.spotify.com/track/4cRmzbAXOuvE2GxOUaQ24C
2026-01-11T08:53:47Z,67kZlVD8tuQQ6Zx4erA9Jm,spotify:track:67kZlVD8tuQQ6Zx4erA9Jm,"Requiem, K. 626: IIIa. Dies irae",4NJhFmfw43RLBLjQvxDuRS | 35QSympF887CO8h5eZHme2 | 003f4bk13c6Q3gAUXv7dGJ | 5zCaQxjl110XTrm4LQ1CxY,Wolfgang Amadeus Mozart | Wiener Singverein | Wiener Philharmoniker | Herbert von Karajan,7zUp1kFOMEMiRFoFKcJhZB,Mozart: Requiem,1987-01-01,day,113000,113.0,,False,True,,,DEF058630101,https://api.spotify.com/v1/tracks/67kZlVD8tuQQ6Zx4erA9Jm,https://open.spotify.com/track/67kZlVD8tuQQ6Zx4erA9Jm
2026-01-11T08:52:21Z,3By9jCy6b4dv5XnlhvIWwx,spotify:track:3By9jCy6b4dv5XnlhvIWwx,Dies Irae,1JOQXgYdQV2yfrhewqx96o | 4245Z5ECeAD9TymolukrZI | 1dKtl7ETdymS2rZJk9LH2j | 0Yneqgh45Jmn0kuyjE7Zfl | 7qR8JpbvBYbqViPWD6tyHz | 7E4yppLZhjBxHC1pH5JGbu | 1Xw28dK9PzkDagTyuRRnGd,Giuseppe Verdi | Carmen Giannattasio | Veronica Simeoni | Alxander Timchenko | Carlo Colombara | Yuri Temirkanov | St. Petersburg Philharmonic Orchestra,7CQrqiAhWcFfu9abqPHQgQ,Verdi Requiem,2009,year,134746,134.746,,False,True,,,GBLLH1018402,https://api.spotify.com/v1/tracks/3By9jCy6b4dv5XnlhvIWwx,https://open.spotify.com/track/3By9jCy6b4dv5XnlhvIWwx
2026-01-11T00:41:16Z,0dXrZ47LxK2PHm4mjSlwgt,spotify:track:0dXrZ47LxK2PHm4mjSlwgt,"The Planets, Op. 32: I. Mars, the Bringer of War",5B7uXBeLc2TkR5Jk23qKIZ | 6yeL5iw4hXNZtd8T7FOoFU | 3FEd0qHPFOgcpfw7bCXB4x,Gustav Holst | Los Angeles Philharmonic | Zubin Mehta,7MOYiQcBcdYvqCyopWBj64,"Holst: The Planets / John Williams: Star Wars Suite / Strauss, R.: Also sprach Zarathustra",1997-01-01,day,429600,429.6,,False,True,,,GBF077110641,https://api.spotify.com/v1/tracks/0dXrZ47LxK2PHm4mjSlwgt,https://open.spotify.com/track/0dXrZ47LxK2PHm4mjSlwgt
2026-01-10T23:45:40Z,2UUPd83rV19BPDbjlp0RU6,spotify:track:2UUPd83rV19BPDbjlp0RU6,I'll Find My Way Home - Remastered,5gS1uXayWA0WJPgcRqNIae,Jon & Vangelis,5xqDwdauo7dizP38KurfOB,The Friends Of Mister Cairo (Remastered),1981-07-01,day,270666,270.666,,False,True,,,GBUM71601974,https://api.spotify.com/v1/tracks/2UUPd83rV19BPDbjlp0RU6,https://open.spotify.com/track/2UUPd83rV19BPDbjlp0RU6
2026-01-09T23:49:34Z,0Ja4hLKiUSw01E01pJ1yGr,spotify:track:0Ja4hLKiUSw01E01pJ1yGr,Breathe,4k1ELeJKT1ISyDv8JivPpB,The Prodigy,4fdgcEVMdJe0KVgupMNJAP,The Fat of the Land,1997-06-30,day,336280,336.28,,False,True,,,GBBKS9700074,https://api.spotify.com/v1/tracks/0Ja4hLKiUSw01E01pJ1yGr,https://open.spotify.com/track/0Ja4hLKiUSw01E01pJ1yGr
2026-01-09T23:43:37Z,2bN58GareTPp89qlI9j0rk,spotify:track:2bN58GareTPp89qlI9j0rk,Limit To Your Love,53KwLdlmrlCelAZMaLVZqU,James Blake,4L9qXAXmnMEIvnvG8xon3F,James Blake,2011-01-01,day,276720,276.72,,False,True,,,GBUM71028665,https://api.spotify.com/v1/tracks/2bN58GareTPp89qlI9j0rk,https://open.spotify.com/track/2bN58GareTPp89qlI9j0rk
2026-01-09T22:40:34Z,2MYPFXScWdR3PQihBQxu7x,spotify:track:2MYPFXScWdR3PQihBQxu7x,Bubbles,1JSPpoXFLcEG2WhYlvmHPJ,Yosi Horikawa,0otC2s8AupBtfGUe0UUhYg,Wandering,2012-06-18,day,347250,347.25,,False,True,,,GBMCZ0600601,https://api.spotify.com/v1/tracks/2MYPFXScWdR3PQihBQxu7x,https://open.spotify.com/track/2MYPFXScWdR3PQihBQxu7x
2026-01-09T22:31:39Z,6APBnfCBZmyJKaocgPY6MX,spotify:track:6APBnfCBZmyJKaocgPY6MX,Letter,1JSPpoXFLcEG2WhYlvmHPJ,Yosi Horikawa,0otC2s8AupBtfGUe0UUhYg,Wandering,2012-06-18,day,263402,263.402,,False,True,,,GBMCZ0600603,https://api.spotify.com/v1/tracks/6APBnfCBZmyJKaocgPY6MX,https://open.spotify.com/track/6APBnfCBZmyJKaocgPY6MX
2026-01-09T22:31:14Z,45zlIlHtm9DUYnEBYw8Lkq,spotify:track:45zlIlHtm9DUYnEBYw8Lkq,Little Person,7MbjIv3XpMc2ciNcoWHFcS | 0f92BXRSv36fG7o3QxCQ38 | 78fgcTfahAcbrhArWRfzVg,Michael Wollny | Tim Lefebvre | Eric Schaefer,6rthWlGJUS1UVi4ilMwgmj,Weltentraum,2014-01-31,day,223759,223.759,,False,True,,,DEA891400072,https://api.spotify.com/v1/tracks/45zlIlHtm9DUYnEBYw8Lkq,https://open.spotify.com/track/45zlIlHtm9DUYnEBYw8Lkq
2026-01-09T22:27:43Z,4eP7VbswtkGd5Hlyj4E7Qx,spotify:track:4eP7VbswtkGd5Hlyj4E7Qx,Nevada,6lK8O3kyFThiTmgowQZGOH,Kerala Dust,4HZ1rAyZ7KwvfnsVq5hNKD,Late Sun,2017-02-09,day,363094,363.094,,False,True,,,DEH741700835,https://api.spotify.com/v1/tracks/4eP7VbswtkGd5Hlyj4E7Qx,https://open.spotify.com/track/4eP7VbswtkGd5Hlyj4E7Qx
