played_at,context_type,context_uri,track_id,track_uri,track_name,artist_ids,artist_names,album_id,album_name,release_date,release_date_precision,duration_ms,duration_seconds,popularity,explicit,is_playable,restriction_reason,linked_from_track_id,isrc,track_href,track_external_url
2026-03-24T09:14:35.429Z,album,spotify:album:6hmmX5UP4rIvOpGSaPerV8,45GTwVJoDDLGEAYkB5NOrT,spotify:track:45GTwVJoDDLGEAYkB5NOrT,Mountains O' Things,7oPgCQqMMXEXrNau5vxYZP,Tracy Chapman,6hmmX5UP4rIvOpGSaPerV8,Tracy Chapman,1988-04-05,day,279426,279.426,,False,,,,,https://api.spotify.com/v1/tracks/45GTwVJoDDLGEAYkB5NOrT,https://open.spotify.com/track/45GTwVJoDDLGEAYkB5NOrT
2026-03-24T09:10:05.077Z,album,spotify:album:6hmmX5UP4rIvOpGSaPerV8,2DjWsDGgL1xNbhnr7f6t5F,spotify:track:2DjWsDGgL1xNbhnr7f6t5F,Baby Can I Hold You,7oPgCQqMMXEXrNau5vxYZP,Tracy Chapman,6hmmX5UP4rIvOpGSaPerV8,Tracy Chapman,1988-04-05,day,193120,193.12,,False,,,,,https://api.spotify.com/v1/tracks/2DjWsDGgL1xNbhnr7f6t5F,https://open.spotify.com/track/2DjWsDGgL1xNbhnr7f6t5F
2026-03-24T09:06:35.375Z,album,spotify:album:6hmmX5UP4rIvOpGSaPerV8,00OMaIm4VEsUcXad5Pf1Qe,spotify:track:00OMaIm4VEsUcXad5Pf1Qe,Behind the Wall,7oPgCQqMMXEXrNau5vxYZP,Tracy Chapman,6hmmX5UP4rIvOpGSaPerV8,Tracy Chapman,1988-04-05,day,109506,109.506,,False,,,,,https://api.spotify.com/v1/tracks/00OMaIm4VEsUcXad5Pf1Qe,https://open.spotify.com/track/00OMaIm4VEsUcXad5Pf1Qe
2026-03-24T09:04:35.061Z,album,spotify:album:6hmmX5UP4rIvOpGSaPerV8,3XkXJNMHJB0UiKiVz83yD7,spotify:track:3XkXJNMHJB0UiKiVz83yD7,Across the Lines,7oPgCQqMMXEXrNau5vxYZP,Tracy Chapman,6hmmX5UP4rIvOpGSaPerV8,Tracy Chapman,1988-04-05,day,204666,204.666,,False,,,,,https://api.spotify.com/v1/tracks/3XkXJNMHJB0UiKiVz83yD7,https://open.spotify.com/track/3XkXJNMHJB0UiKiVz83yD7
2026-03-24T09:01:35.220Z,album,spotify:album:6hmmX5UP4rIvOpGSaPerV8,2M9ro2krNb7nr7HSprkEgo,spotify:track:2M9ro2krNb7nr7HSprkEgo,Fast Car,7oPgCQqMMXEXrNau5vxYZP,Tracy Chapman,6hmmX5UP4rIvOpGSaPerV8,Tracy Chapman,1988-04-05,day,296800,296.8,,False,,,,,https://api.spotify.com/v1/tracks/2M9ro2krNb7nr7HSprkEgo,https://open.spotify.com/track/2M9ro2krNb7nr7HSprkEgo
2026-03-24T08:56:35.316Z,album,spotify:album:6hmmX5UP4rIvOpGSaPerV8,0YMFcrMtBowDdD5bPz0cgy,spotify:track:0YMFcrMtBowDdD5bPz0cgy,Talkin' Bout a Revolution,7oPgCQqMMXEXrNau5vxYZP,Tracy Chapman,6hmmX5UP4rIvOpGSaPerV8,Tracy Chapman,1988-04-05,day,161600,161.6,,False,,,,,https://api.spotify.com/v1/tracks/0YMFcrMtBowDdD5bPz0cgy,https://open.spotify.com/track/0YMFcrMtBowDdD5bPz0cgy
2026-03-24T08:53:07.709Z,,,5duZVZ4m1TaJDTCbeHG8TG,spotify:track:5duZVZ4m1TaJDTCbeHG8TG,Raiders March,3dRfiJ2650SZu6GbydcHNb,John Williams,0oLE7gLc5TVEsJzuY6Dxf5,Indiana Jones and the Kingdom of the Crystal Skull (Original Motion Picture Soundtrack),2008-05-20,day,305640,305.64,,False,,,,,https://api.spotify.com/v1/tracks/5duZVZ4m1TaJDTCbeHG8TG,https://open.spotify.com/track/5duZVZ4m1TaJDTCbeHG8TG
2026-03-23T15:00:33.028Z,,,5Tjl3JKE16Wysns0mpfkZT,spotify:track:5Tjl3JKE16Wysns0mpfkZT,Opportunities (Let's Make Lots of Money),2ycnb8Er79LoH2AsR5ldjh,Pet Shop Boys,0Jt2LzWgtGxy3GZH5i2Kcy,Discography - Complete Singles Collection,1998-03-31,day,218000,218.0,,False,,,,,https://api.spotify.com/v1/tracks/5Tjl3JKE16Wysns0mpfkZT,https://open.spotify.com/track/5Tjl3JKE16Wysns0mpfkZT
2026-03-23T14:56:33.122Z,,,3F4JxbEkur9ZXAtQ5GFVXB,spotify:track:3F4JxbEkur9ZXAtQ5GFVXB,Suburbia,2ycnb8Er79LoH2AsR5ldjh,Pet Shop Boys,0Jt2LzWgtGxy3GZH5i2Kcy,Discography - Complete Singles Collection,1998-03-31,day,244306,244.306,,False,,,,,https://api.spotify.com/v1/tracks/3F4JxbEkur9ZXAtQ5GFVXB,https://open.spotify.com/track/3F4JxbEkur9ZXAtQ5GFVXB
2026-03-23T14:52:33.211Z,,,1PHBBJNH4WFuDBlAuVKWMA,spotify:track:1PHBBJNH4WFuDBlAuVKWMA,Have Mercy On The Criminal,3PhoLpVuITZKcymswpck5b,Elton John,1reJ8DttK5EGwdyf7y9FBR,Don't Shoot Me I'm Only The Piano Player,1973-01-22,day,357733,357.733,,False,,,,,https://api.spotify.com/v1/tracks/1PHBBJNH4WFuDBlAuVKWMA,https://open.spotify.com/track/1PHBBJNH4WFuDBlAuVKWMA
2026-03-23T14:46:33.411Z,,,5vrMM7hAZPQx9955euW6Jb,spotify:track:5vrMM7hAZPQx9955euW6Jb,Blue Jean - 2018 Remaster,0oSGxfWSnnOXhD2fKuz2Gy,David Bowie,3NkelzSfQzROagWVnseU5C,Tonight (2018 Remaster),1984-09-29,day,191906,191.906,,False,,,,,https://api.spotify.com/v1/tracks/5vrMM7hAZPQx9955euW6Jb,https://open.spotify.com/track/5vrMM7hAZPQx9955euW6Jb
2026-03-23T14:43:35.144Z,,,3AMCuMIDuPKM2nxf3dKyx4,spotify:track:3AMCuMIDuPKM2nxf3dKyx4,"Absolute Beginners - Live at BBC Radio Theatre, London, 27th June, 2000; 2021 Remaster",0oSGxfWSnnOXhD2fKuz2Gy,David Bowie,0zL2nmuAvTxYOdQ5iqTTIV,Brilliant Adventure (1992 – 2001),2021-11-26,day,394876,394.876,,False,,,,,https://api.spotify.com/v1/tracks/3AMCuMIDuPKM2nxf3dKyx4,https://open.spotify.com/track/3AMCuMIDuPKM2nxf3dKyx4
