rank,track_id,lead_genre,matched_genres,matched_tags,final_score,tempo_similarity,tempo_contribution,key_similarity,key_contribution,mode_similarity,mode_contribution,duration_ms_similarity,duration_ms_contribution,lead_genre_similarity,lead_genre_contribution,genre_overlap_similarity,genre_overlap_contribution,tag_overlap_similarity,tag_overlap_contribution
4712,N53QV0YXJcPciMOr,folk,folk,indie,0.205185,0.175776,0.021093,0.769917,0.061593,0.0,0.0,0.713215,0.057057,0.202347,0.04654,0.038964,0.007403,0.049994,0.011499
4713,Kh2DXTQbfdz9d0Hx,folk,folk|classic rock,70s|classic rock,0.205133,0.0,0.0,0.103251,0.00826,0.271408,0.018999,0.430115,0.034409,0.202347,0.04654,0.230972,0.043885,0.23061,0.05304
4714,5J0NHYvCD8x3Cqkq,rnb,pop,pop,0.205119,0.590824,0.070899,0.103251,0.00826,0.271408,0.018999,0.281648,0.022532,0.0,0.0,0.229808,0.043664,0.177239,0.040765
4715,WMQ06gOzF40IAwsd,post-hardcore,electronic,electronic,0.205115,0.61111,0.073333,0.563416,0.045073,0.271408,0.018999,0.487919,0.039034,0.0,0.0,0.078055,0.01483,0.0602,0.013846
4716,6d4BoIg5drO7ic2M,folk,folk|singer-songwriter,indie,0.204966,0.428843,0.051461,0.0,0.0,0.271408,0.018999,0.710115,0.056809,0.202347,0.04654,0.103465,0.019658,0.049994,0.011499
4717,naUeu78RnRNx0dWq,electronic,electronic,electronic,0.204777,0.236376,0.028365,0.563416,0.045073,0.271408,0.018999,0.0,0.0,0.363755,0.083664,0.078055,0.01483,0.0602,0.013846
4718,FyayKxI1wUFqTnkW,folk,folk,indie,0.204691,0.0,0.0,0.769917,0.061593,0.271408,0.018999,0.733215,0.058657,0.202347,0.04654,0.038964,0.007403,0.049994,0.011499
4719,n21FkGeVkPtVgNQP,synthpop,electronic,80s|electronic,0.204609,0.296843,0.035621,0.769917,0.061593,0.271408,0.018999,0.533852,0.042708,0.0,0.0,0.078055,0.01483,0.134166,0.030858
4720,1WdUDpMReTMfHX7T,electronic,electronic,electronic,0.204543,0.32329,0.038795,0.0,0.0,0.271408,0.018999,0.430115,0.034409,0.363755,0.083664,0.078055,0.01483,0.0602,0.013846
4721,2yHyapCzDFnykegO,house,electronic,electronic|dance,0.204478,0.809043,0.097085,0.103251,0.00826,0.271408,0.018999,0.491681,0.039334,0.0,0.0,0.078055,0.01483,0.112913,0.02597
4722,g8yVuBbd14A58Zd9,electronic,electronic,electronic,0.204468,0.540576,0.064869,0.103251,0.00826,0.271408,0.018999,0.0,0.0,0.363755,0.083664,0.078055,0.01483,0.0602,0.013846
4723,o5D1rlazYd9bCBlI,electronic,electronic,electronic,0.204463,0.409576,0.049149,0.0,0.0,0.271408,0.018999,0.299685,0.023975,0.363755,0.083664,0.078055,0.01483,0.0602,0.013846
4724,LKcgDGdDk41RNWVh,rock mexicano,rock,rock,0.204209,0.006043,0.000725,0.769917,0.061593,0.271408,0.018999,0.147448,0.011796,0.0,0.0,0.302395,0.057455,0.233222,0.053641
4725,mr06WzJlccQqgTCe,electronic,electronic,electronic,0.203937,0.66309,0.079571,0.103251,0.00826,0.0,0.0,0.047081,0.003766,0.363755,0.083664,0.078055,0.01483,0.0602,0.013846
4726,SgJGkeFbNz9epfPf,folk,folk,indie,0.203735,0.741843,0.089021,0.0,0.0,0.271408,0.018999,0.378415,0.030273,0.202347,0.04654,0.038964,0.007403,0.049994,0.011499
4727,B0Pddlbbq7kidk7D,electronic,electronic,electronic,0.203726,0.674376,0.080925,0.103251,0.00826,0.0,0.0,0.027515,0.002201,0.363755,0.083664,0.078055,0.01483,0.0602,0.013846
4728,as6464xMGWwIvxZR,indie pop,electronic,electronic|indie,0.203563,0.541643,0.064997,0.103251,0.00826,0.271408,0.018999,0.889148,0.071132,0.0,0.0,0.078055,0.01483,0.110194,0.025345
4729,qf07b3mB6dEoJr85,alternative,rap,alternative,0.203401,0.904024,0.108483,0.103251,0.00826,0.271408,0.018999,0.525452,0.042036,0.0,0.0,0.050403,0.009577,0.069764,0.016046
